STATE,PLACE,POPESTIMATE2023
01,00124,2377
01,00460,4172
01,00484,667
01,00676,224
01,00820,34107
01,00988,23031
01,01132,14470
01,01228,2055
01,01396,556
01,01660,950
01,01708,8840
01,01756,255
01,01852,21167
01,02116,8830
01,02260,1421
01,02320,4386
01,02428,662
01,02500,329
01,02836,2329
01,02860,1942
01,02908,2402
01,02956,30904
01,03004,8315
01,03028,5818
01,03076,82025
01,03220,804
01,03364,473
01,03556,640
01,03676,683
01,03724,209
01,03940,155
01,04660,8371
01,04684,2155
01,04852,1056
01,04900,200
01,04948,185
01,05164,187
01,05692,38
01,05812,524
01,05932,1190
01,05980,25037
01,06460,124
01,07000,196644
01,07120,233
01,07456,1818
01,07672,79
01,07912,10369
01,08104,281
01,08248,167
01,09016,803
01,09136,2659
01,09208,5167
01,09328,2262
01,09400,2237
01,09424,830
01,09736,1200
01,09808,2440
01,10240,2028
01,11032,1767
01,11416,18189
01,11512,1710
01,11680,965
01,12016,1731
01,12040,52
01,12160,289
01,12304,978
01,12496,468
01,12760,1899
01,13264,15705
01,13648,3782
01,13672,2701
01,14008,1068
01,14104,16771
01,14152,966
01,14392,6283
01,14464,4637
01,15064,3910
01,15136,9123
01,15256,10221
01,15304,481
01,15376,2212
01,15472,1252
01,15640,1200
01,16000,1986
01,16240,210
01,16264,250
01,16312,880
01,16600,2064
01,16684,275
01,16744,700
01,16768,4812
01,17176,1265
01,17368,1672
01,17824,1086
01,17968,318
01,18040,588
01,18088,2000
01,18304,1967
01,18856,1838
01,18952,284
01,18976,19913
01,19216,149
01,19336,2960
01,19360,4926
01,19648,30321
01,19744,1895
01,19816,176
01,19912,27
01,20008,1723
01,20104,58321
01,20296,6833
01,20392,225
01,20955,564
01,21136,2255
01,21184,71258
01,21280,1114
01,21328,782
01,21448,285
01,21952,339
01,22216,2252
01,22816,1209
01,23176,212
01,23296,3522
01,23320,2109
01,23344,137
01,23488,436
01,23656,1394
01,23872,24
01,24184,30271
01,24256,262
01,24472,50
01,24568,12451
01,24664,2761
01,24688,589
01,24808,3359
01,24880,531
01,25120,9582
01,25240,24974
01,25384,537
01,25648,1195
01,25816,84
01,25840,4128
01,26200,117
01,26824,1452
01,26848,1934
01,26896,42437
01,26992,24873
01,27376,424
01,27520,1153
01,27616,14957
01,28024,567
01,28312,1124
01,28432,248
01,28504,216
01,28552,9617
01,28672,982
01,28696,33229
01,28768,164
01,28936,202
01,29032,541
01,29056,16096
01,29296,174
01,29392,154
01,29464,4217
01,29560,1273
01,29608,913
01,29704,714
01,29944,422
01,29992,5404
01,30160,151
01,30448,56
01,30496,2615
01,30640,1257
01,30736,1578
01,30760,297
01,30808,232
01,30880,266
01,31096,1057
01,31384,1860
01,31720,2163
01,31912,7030
01,32056,585
01,32080,1742
01,32224,2147
01,32272,16850
01,32416,9028
01,32440,850
01,32536,143
01,32560,1438
01,32656,116
01,32704,4301
01,32848,6952
01,32896,423
01,32968,3324
01,33256,1817
01,33424,2726
01,33448,15875
01,33640,1355
01,33712,777
01,33856,5333
01,33904,241
01,33976,3507
01,34024,22117
01,34096,2305
01,34480,424
01,34816,406
01,35152,744
01,35200,262
01,35392,4648
01,35560,860
01,35632,928
01,35800,27758
01,35896,92448
01,36088,208
01,36448,16202
01,37000,225564
01,37096,340
01,37264,448
01,37312,735
01,37465,2492
01,37864,13526
01,38152,4525
01,38248,751
01,38272,14682
01,38416,14448
01,38608,2941
01,39280,176
01,39472,124
01,39520,427
01,39784,1035
01,39856,4463
01,40072,2263
01,40096,595
01,40672,2625
01,40888,163
01,40928,3794
01,41296,6751
01,41368,270
01,41968,12416
01,42016,985
01,42160,653
01,42352,119
01,42472,1831
01,42640,735
01,42808,108
01,43120,7514
01,43240,1848
01,43264,2484
01,43336,2006
01,43384,415
01,43648,1045
01,43720,3152
01,43744,162
01,43816,446
01,43888,1233
01,44344,390
01,44536,78
01,44608,4623
01,44728,2688
01,44800,618
01,45472,197
01,45496,494
01,45640,29
01,45784,60854
01,45904,262
01,46072,844
01,46264,1567
01,46504,651
01,46696,6236
01,46768,2734
01,47728,312
01,48052,25
01,48064,325
01,48376,4960
01,48400,2296
01,48424,404
01,48712,17367
01,48808,973
01,48832,438
01,50000,182595
01,50192,5734
01,50312,7708
01,51000,195287
01,51096,13595
01,51264,48
01,51456,2249
01,51520,789
01,51600,3426
01,51648,3516
01,51696,21737
01,52608,1376
01,52776,766
01,52848,1343
01,53016,17210
01,53112,69
01,53256,415
01,53376,35
01,53400,185
01,53448,386
01,53472,71
01,53784,132
01,53856,1498
01,54168,2927
01,54432,768
01,54480,1645
01,54600,558
01,55044,490
01,55152,126
01,55200,31111
01,55440,875
01,55752,592
01,55848,13
01,55992,751
01,56400,5352
01,56472,1197
01,57000,6995
01,57024,175
01,57048,33572
01,57120,6757
01,57144,8534
01,57240,143
01,57504,2917
01,57576,22078
01,57648,14346
01,57696,179
01,58272,970
01,58848,25121
01,58896,13924
01,58968,325
01,59088,578
01,59328,64
01,59472,38441
01,59496,979
01,59592,544
01,59640,4705
01,59760,11117
01,59832,592
01,59880,130
01,60240,712
01,60372,267
01,60648,7753
01,60720,689
01,61008,9390
01,61038,431
01,61536,125
01,62075,924
01,62328,39318
01,62472,3800
01,62496,18816
01,62688,162
01,63216,1705
01,63288,10322
01,63336,5768
01,63408,431
01,63576,3184
01,63768,434
01,63984,607
01,64104,1461
01,64152,2013
01,64368,229
01,64656,83
01,64776,491
01,64920,2266
01,65016,164
01,65040,5387
01,65208,7421
01,65472,349
01,66216,1385
01,66408,380
01,67056,10722
01,67176,349
01,67536,704
01,67800,1860
01,67920,600
01,68016,264
01,68160,16435
01,68280,1787
01,68352,6849
01,68736,15863
01,69000,773
01,69120,16666
01,69240,5846
01,69648,9307
01,69840,328
01,70128,371
01,70416,365
01,70536,1923
01,70704,352
01,70896,851
01,71040,2133
01,71190,5477
01,71280,1042
01,71496,817
01,71832,9597
01,71900,609
01,71976,10923
01,72600,5233
01,72888,1000
01,73080,1973
01,73728,1832
01,73848,2528
01,73872,1576
01,74160,799
01,74304,219
01,74352,12216
01,74400,1809
01,74424,1604
01,74592,14768
01,74616,143
01,74688,4753
01,74976,5833
01,75096,2309
01,75936,318
01,75960,3583
01,76080,2148
01,76584,1063
01,76632,137
01,76680,592
01,76824,4456
01,76872,2567
01,76920,17836
01,76944,26770
01,77256,111338
01,77280,9169
01,77304,8765
01,77352,359
01,77616,167
01,77784,71
01,77880,3154
01,77904,1963
01,78204,10308
01,78232,3982
01,78240,590
01,78264,2263
01,78480,1849
01,78552,38020
01,78984,322
01,79008,2024
01,79272,218
01,79344,844
01,79488,256
01,79728,778
01,79944,3187
01,80064,183
01,80256,150
01,80352,3330
01,80376,1312
01,80496,747
01,80928,1189
01,81336,466
01,81504,1911
01,81528,640
01,81720,7218
01,81912,756
01,82848,1926
01,82872,593
01,82992,4869
01,83400,227
01,83640,1579
01,83664,751
01,83976,216
01,84096,2307
02,00065,154
02,00650,64
02,00870,448
02,01090,1586
02,01200,723
02,01420,199
02,01860,171
02,01970,254
02,02080,403
02,03000,286075
02,03220,173
02,03440,335
02,03550,494
02,03880,71
02,04210,54
02,04500,255
02,06520,6292
02,06630,24
02,08740,415
02,09600,511
02,12680,490
02,13230,908
02,13550,86
02,14330,99
02,15430,63
02,16360,125
02,16530,52
02,17410,2473
02,17740,1041
02,18510,170
02,18620,955
02,18950,2126
02,19060,80
02,20380,85
02,20970,25
02,21040,389
02,21150,34
02,21810,103
02,22250,360
02,22910,787
02,24230,31856
02,24660,401
02,26760,411
02,27530,457
02,27640,620
02,29180,166
02,29290,252
02,30060,200
02,30940,612
02,33030,170
02,33140,6040
