id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
635781,AFG-2026-3-951-25,2026,false,Check geography,3,130,484,Government of Afghanistan - Civilians,130,951,Government of Afghanistan - Civilians,130,130,Government of Afghanistan,9999,1,Civilians,1,"""Kabul Now,2026-07-12,Former Afghan Intelligence Officer Killed by Unknown Armed Men in Western Afghanistan""",Kabul Now,2026-07-12,Former Afghan Intelligence Officer Killed by Unknown Armed Men in Western Afghanistan,Local sources,3,Taywara district,Zerni/Zarni village in Taywara district,Ghor province,Taywara district,33.492041,64.368097,POINT (64.368097 33.492041),177609,Afghanistan,700,Asia,1,1,2026-07-11 00:00:00.000,2026-07-11 00:00:00.000,0,0,0,0,0,1,0,700,
635780,AFG-2026-3-951-24,2026,false,Check geography,3,130,484,Government of Afghanistan - Civilians,130,951,Government of Afghanistan - Civilians,130,130,Government of Afghanistan,9999,1,Civilians,2,"""Kabul Now,2026-07-17,Former Intelligence Officer Killed in Daikundi as Attacks on Ex-Security Forces Continue"";""Etilaat Roz,2026-07-17,A former soldier was murdered in Daikundi.""",Kabul Now;Etilaat Roz,2026-07-17;2026-07-17,Former Intelligence Officer Killed in Daikundi as Attacks on Ex-Security Forces Continue;A former soldier was murdered in Daikundi.,local sources; relatives,3,Shahristan district,near his house in Katesang area of ​​the city Shahristan district,Daykundi province,Shahristan district,33.707723,66.474067,POINT (66.474067 33.707723),178333,Afghanistan,700,Asia,1,1,2026-07-16 00:00:00.000,2026-07-16 00:00:00.000,0,0,0,0,0,1,0,700,
636206,AFG-2026-1-14320-9,2026,true,Clear,1,"",13637,Afghanistan: Islamic State,14320,14320,Government of Afghanistan - IS,130,130,Government of Afghanistan,234,234,IS,3,"""Afghan Analyst on Twitter (X),2026-07-29,ISKP Claims Responsibility for Assassination of Taliban Official in Badakhshan"";""Afghan Analyst on Twitter (X),2026-07-28, Badakhshan Information and Culture Director Zabihullah Amiri Assassinated on Way to Work"";""Ariana,2026-07-28,The Ministry of Information and Culture has confirmed the killing of Ziaullah Emari, the head of the Information and Culture Department in Badakhshan province, and states that he was ""martyred"" in an attack by armed individuals.""",Afghan Analyst on Twitter (X);Afghan Analyst on Twitter (X);Ariana,2026-07-29;2026-07-28;2026-07-28,"ISKP Claims Responsibility for Assassination of Taliban Official in Badakhshan; Badakhshan Information and Culture Director Zabihullah Amiri Assassinated on Way to Work;The Ministry of Information and Culture has confirmed the killing of Ziaullah Emari, the head of the Information and Culture Department in Badakhshan province, and states that he was ""martyred"" in an attack by armed individuals.",ISKP; Badakhshan Police spokesperson,2,Fayzabad town,"near Faizabad, the provincial capital of Badakhshan",Badakhshan province,Fayzabad district (Badakhshan),37.116638,70.580022,POINT (70.580022 37.116638),183382,Afghanistan,700,Asia,1,1,2026-07-28 00:00:00.000,2026-07-28 00:00:00.000,2,1,0,0,3,3,3,700,
635825,AFG-2026-1-16825-28,2026,false,Check geography,1,"",333,Afghanistan: Government,16825,16825,Government of Afghanistan - NRF,130,130,Government of Afghanistan,8114,8114,NRF,2,"""Afghanistan International,2026-07-27,One Taliban Member Killed In Kuran Wa Munjan of Badakhshan, Says NRF"";""Etilaat Roz,2026-07-27,The ""Resistance Front"" announced an attack on a Taliban checkpoint in the Karan-e-Manjan region of Badakhshan.""",Afghanistan International;Etilaat Roz,2026-07-27;2026-07-27,"One Taliban Member Killed In Kuran Wa Munjan of Badakhshan, Says NRF;The ""Resistance Front"" announced an attack on a Taliban checkpoint in the Karan-e-Manjan region of Badakhshan.",NRF; local sources,3,Kuran Wa Munjan district,"""Shahran"" area of ​​the Keran and Manjan district.",Badakhshan province,Kuran Wa Munjan district,35.928047,70.770578,POINT (70.770578 35.928047),181222,Afghanistan,700,Asia,1,1,2026-07-26 00:00:00.000,2026-07-26 00:00:00.000,0,0,0,0,0,1,0,700,
635772,AFG-2026-1-17083-27,2026,false,Check geography,1,"",333,Afghanistan: Government,17083,17083,Government of Afghanistan - AFF,130,130,Government of Afghanistan,8343,8343,AFF,6,"""Ariana News,2026-07-24,Five armed men killed while attempting to cross Durand Line into Badakhshan"";""AFF,2026-07-24,Extensive Offensive Campaigns on Taliban Positions in Zibak, Badakhshan"";""Afghan Analyst on Twitter (X),2026-07-25,Badakhshan Frontline Update: Taliban and AFF Claims After Zibak Fighting"";""Afghan Analyst on Twitter (X),2026-07-24,Taliban Claims Cross-Border Infiltration from Pakistan After Badakhshan Clashes"";""BBC Monitoring Round-up,2026-08-07,Afghanistan security narratives 29 Jul - 4 Aug 26"";""The Afghan Digest,2026-07-27,The Week of July 20-26""",Ariana News;AFF;Afghan Analyst on Twitter (X);Afghan Analyst on Twitter (X);BBC Monitoring Round-up;The Afghan Digest,2026-07-24;2026-07-24;2026-07-25;2026-07-24;2026-08-07;2026-07-27,"Five armed men killed while attempting to cross Durand Line into Badakhshan;Extensive Offensive Campaigns on Taliban Positions in Zibak, Badakhshan;Badakhshan Frontline Update: Taliban and AFF Claims After Zibak Fighting;Taliban Claims Cross-Border Infiltration from Pakistan After Badakhshan Clashes;Afghanistan security narratives 29 Jul - 4 Aug 26;The Week of July 20-26","AFF; Taliban's Chief of Army Staff, Qari Fasihuddin Fitrat",3,Zebak district,"Zibak District of Badakhshan Province, near durand line, Top Khana area of",Badakhshan province,Zebak district,36.428979,71.347254,POINT (71.347254 36.428979),181943,Afghanistan,700,Asia,1,2,2026-07-23 00:00:00.000,2026-07-24 00:00:00.000,1,5,0,0,6,34,2,700,
635771,AFG-2026-1-17083-26,2026,false,Clear,1,"",333,Afghanistan: Government,17083,17083,Government of Afghanistan - AFF,130,130,Government of Afghanistan,8343,8343,AFF,3,"""AFF,2026-07-26,Freedom  fighters of (AFF) launched a rocket attack on a Taliban military convoy travelling from Kabul to Badakhshan Province on Saturday, 25 July 2026. "";""Etilaat Roz,2026-07-26,""Freedom Front"": We attacked a Taliban military convoy moving from Kabul to Badakhshan"";""The Afghan Digest,2026-07-27,The Week of July 20-26""",AFF;Etilaat Roz;The Afghan Digest,2026-07-26;2026-07-26;2026-07-27,"Freedom  fighters of (AFF) launched a rocket attack on a Taliban military convoy travelling from Kabul to Badakhshan Province on Saturday, 25 July 2026. ;""Freedom Front"": We attacked a Taliban military convoy moving from Kabul to Badakhshan;The Week of July 20-26",AFF; local sources,3,Dushi district,"from Kabul to the Northern Salang area, vicinity of Dushi District.",Baghlan province,Dushi district,35.615268,68.659670,POINT (68.65967 35.615268),181218,Afghanistan,700,Asia,1,1,2026-07-25 00:00:00.000,2026-07-25 00:00:00.000,0,0,0,0,0,7,0,700,
636681,BNG-2026-2-2-XXX771-46,2026,false,Check dyad,2,2-XXX771,12,XXX771 - XXX771,2-XXX771,24,XXX771 - XXX771,XXX771,3607,XXX771,XXX771,3607,XXX771,1,"""SATP,2026-08-01,Bangladesh: Timeline (Terrorist Activities)-2026 """,SATP,2026-08-01,Bangladesh: Timeline (Terrorist Activities)-2026,The Daily Star,3,Jessore district,in Khajura Filling Station in Bagharpara Upazila (Sub-District) of Jashore District,Khulna division,Jessore district,23.083333,89.166667,POINT (89.166667 23.083333),163259,Bangladesh,771,Asia,1,1,2026-07-13 00:00:00.000,2026-07-13 00:00:00.000,1,0,0,0,1,1,1,,
636623,BNG-2026-2-2-XXX771-41,2026,false,Check dyad,2,2-XXX771,12,XXX771 - XXX771,2-XXX771,24,XXX771 - XXX771,XXX771,3607,XXX771,XXX771,3607,XXX771,2,"""SATP,2026-08-01,Bangladesh: Timeline (Terrorist Activities)-2026 "";""The New Nation (Bangladesh),2026-07-17,BNP leader murdered in Kishoreganj""",SATP;The New Nation (Bangladesh),2026-08-01;2026-07-17,Bangladesh: Timeline (Terrorist Activities)-2026 ;BNP leader murdered in Kishoreganj,"Police, relatives",1,Mithamain town,in Mithamoin area in Kishoreganj,Dhaka division,Kishorganj district,24.414740,91.054300,POINT (91.0543 24.41474),164703,Bangladesh,771,Asia,1,1,2026-07-15 00:00:00.000,2026-07-15 00:00:00.000,1,0,0,0,1,1,1,,
636696,BNG-2026-2-2-XXX771-47,2026,false,Check dyad,2,2-XXX771,12,XXX771 - XXX771,2-XXX771,24,XXX771 - XXX771,XXX771,3607,XXX771,XXX771,3607,XXX771,1,"""SATP,2026-08-01,Bangladesh: Timeline (Terrorist Activities)-2026 """,SATP,2026-08-01,Bangladesh: Timeline (Terrorist Activities)-2026,Bhulbaria Union Awami League President,2,Ataikula town,"Ratanpur Village of Bhulbaria Union, in Ataikula of Santhia Upazila (Sub-District) in Pabna District",Rajshahi division,Pabna disctrict,24.031305,89.406814,POINT (89.406814 24.031305),164699,Bangladesh,771,Asia,1,1,2026-07-18 00:00:00.000,2026-07-18 00:00:00.000,1,0,0,0,1,1,1,,
636721,BNG-2026-2-2-XXX771-50,2026,false,Check dyad,2,2-XXX771,12,XXX771 - XXX771,2-XXX771,24,XXX771 - XXX771,XXX771,3607,XXX771,XXX771,3607,XXX771,1,"""SATP,2026-08-01,Bangladesh: Timeline (Terrorist Activities)-2026 """,SATP,2026-08-01,Bangladesh: Timeline (Terrorist Activities)-2026,relatives,2,Sonargaon town,in the Charhogla Balurghat area of Shambhupura Union of Sonargaon Upazila (Sub-District) of Narayanganj District,Dhaka division,Narayanganj district,23.648737,90.599127,POINT (90.599127 23.648737),163982,Bangladesh,771,Asia,1,1,2026-07-26 00:00:00.000,2026-07-26 00:00:00.000,1,0,0,0,1,1,1,,
